Nome Programa-ID,Nome Programa
0,Aperfeiçoamento do Sistema Único de Saúde (SUS)
1,Aperfeiçoamento do Trabalho e da Educação na Saúde
2,Assistência Ambulatorial e Hospitalar Especializada
3,Autonomia e Emancipação da Juventude
4,Brasil Alfabetizado e Educação de Jovens e Adultos
5,Brasil Escolarizado
6,Brasil Universitário
7,Brasil no Esporte de Alto Rendimento - Brasil Campeão
8,Cidadania e Justiça
9,"Ciência, Tecnologia e Inovação"
10,"Ciência, Tecnologia e Inovação para Inclusão e Desenvolvimento Social"
11,"Ciência, Tecnologia e Inovação para a Política Industrial, Tecnológica e de Comércio Exterior (PITCE)"
12,Conservação e Gestão de Recursos Hídricos
13,Controle Externo
14,"Coordenação de Políticas de Prevenção, Atenção e Reinserção Social de Usuários de Crack, Álcool e outras Droga"
15,"Cultura: Preservação, Promoção e Acesso"
16,Cultura: dimensão essencial do Desenvolvimento
17,"Democratização do Acesso à Informação Jornalística, Educacional e Cultural"
18,Desenvolvimento Produtivo
19,Desenvolvimento Sustentável da Pesca
20,Desenvolvimento da Educação Especial
21,Desenvolvimento da Educação Profissional e Tecnológica
22,Desenvolvimento do Ensino da Pós-Graduação e da Pesquisa Científica
23,Educação Básica
24,"Educação Superior - Graduação, Pós-Graduação, Ensino, Pesquisa e Extensão"
25,Educação de qualidade para todos
26,Educação do Campo (PRONERA)
27,Educação para a Diversidade e Cidadania
28,Esporte e Grandes Eventos Esportivos
29,"Esporte, Cidadania e Desenvolvimento"
30,Estatísticas e Avaliações Educacionais
31,Fortalecimento do Sistema Único de Saúde (SUS)
32,Fortalecimento e Dinamização da Agricultura Familiar
33,"Geologia, Mineração e Transformação Mineral"
34,"Gestão Estratégica da Geologia, da Mineração e da Transformação Mineral"
35,Gestão da Política Externa
36,Gestão da Política de Educação
37,Gestão de Recursos Humanos e Democratização das Relações de Trabalho no Setor Público
38,Gestão de Riscos e Resposta a Desastres
39,Inclusão Digital
40,"Integração das Políticas Públicas de Emprego, Trabalho e Renda"
41,Nacional de Inclusão de Jovens - ProJovem
42,Operações Especiais: Cumprimento de Sentenças Judiciais
43,Operações Especiais: Outros Encargos Especiais
44,Pesca e Aquicultura
45,Política para as Mulheres: Promoção da Autonomia e Enfrentamento à Violência
46,Políticas para as Mulheres: Promoção da Igualdade e Enfrentamento à Violência
47,Programa de Gestão e Manutenção do Ministério da Educação
48,Programa de Gestão e Manutenção do Ministério das Relações Exteriores
49,"Programa de Gestão e Manutenção do Ministério do Planejamento, Orçamento e Gestão"
50,Promoção da Capacidade Resolutiva e da Humanização na Atenção à Saúde
51,Promoção do Trabalho Decente e Economia Solidária
52,Qualidade na Escola
53,Recursos Hídricos
54,Reforma Agrária e Ordenamento da Estrutura Fundiária
55,Segurança Alimentar e Nutricional
56,"Trabalho, Emprego e Renda"
57,Vigilância e Prevenção de Riscos Decorrentes da Produção e do Consumo de Bens e Serviços
58,"Vigilância, Prevenção e Controle de Doenças e Agravos"
59,Vivência e Iniciação Esportiva Educacional - Segundo Tempo
