Nome Subfunção-ID,Nome Subfunção
0,Administração Geral
1,Alimentação e Nutrição
2,Assistência Hospitalar e Ambulatorial
3,Assistência à Criança e ao Adolescente
4,Atenção Básica
5,Combustíveis Minerais
6,Controle Externo
7,DESCRIÇÃO PENDENTE DE DEFINIÇÃO
8,Desenvolvimento Científico
9,Desenvolvimento Tecnológico e Engenharia
10,Desporto Comunitário
11,Desporto de Rendimento
12,Difusão Cultural
13,Difusão do Conhecimento Científico e Tecnológico
14,"Direitos Individuais, Coletivos e Difusos"
15,Educação Básica
16,Educação Especial
17,Educação Infantil
18,Educação de Jovens e Adultos
19,Ensino Fundamental
20,Ensino Médio
21,Ensino Profissional
22,Ensino Superior
23,Extensão Rural
24,Fomento ao Trabalho
25,Formação de Recursos Humanos
26,Mineração
27,Normatização e Fiscalização
28,Outros Encargos Especiais
29,Petróleo
30,Planejamento e Orçamento
31,Previdência Especial
32,Promoção da Produção Agropecuária
33,Promoção da Produção Animal
34,Proteção e Benefícios ao Trabalhador
35,Recursos Hídricos
36,Serviços Urbanos
37,Tecnologia da Informação
38,Telecomunicações
39,Transferências para Educação Básica
40,Transporte Hidroviário
41,Vigilância Epidemiológica
42,Vigilância Sanitária
